"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-80.05","42.53","LONG POINT (AUT)","6134F10","2018-01-01","2018","01","01","","-9.6","","-14.1","","-11.9","","29.9","","0.0","","","M","","M","","M","","","22","","52",""
"-80.05","42.53","LONG POINT (AUT)","6134F10","2018-01-02","2018","01","02","","-6.3","","-11.1","","-8.7","","26.7","","0.0","","","M","","M","","M","","","19","","87",""
"-80.05","42.53","LONG POINT (AUT)","6134F10","2018-01-03","2018","01","03","","","M","-10.0","E","","M","","M","","M","","M","","M","","M","","","18","","70",""
"-80.05","42.53","LONG POINT (AUT)","6134F10","2018-01-04","2018","01","04","","-6.9","","-16.3","","-11.6","","29.6","","0.0","","","M","","M","","M","","","28","","70",""
"-80.05","42.53","LONG POINT (AUT)","6134F10","2018-01-05","2018","01","05","","-14.2","","-18.5","","-16.4","","34.4","","0.0","","","M","","M","","M","","","24","","56",""
"-80.05","42.53","LONG POINT (AUT)","6134F10","2018-01-06","2018","01","06","","-13.8","","-16.5","","-15.2","","33.2","","0.0","","","M","","M","","M","","","24","","46",""
"-80.05","42.53","LONG POINT (AUT)","6134F10","2018-01-07","2018","01","07","","-0.1","","-14.7","","-7.4","","25.4","","0.0","","","M","","M","","M","","","16","","80",""
"-80.05","42.53","LONG POINT (AUT)","6134F10","2018-01-08","2018","01","08","","1.1","","-0.5","","0.3","","17.7","","0.0","","","M","","M","","M","","","17","","85",""
"-80.05","42.53","LONG POINT (AUT)","6134F10","2018-01-09","2018","01","09","","","M","-2.7","E","","M","","M","","M","","M","","M","","M","","","21","","48",""
"-80.05","42.53","LONG POINT (AUT)","6134F10","2018-01-10","2018","01","10","","7.1","","-1.4","","2.9","","15.1","","0.0","","","M","","M","","M","","","14","","59",""
"-80.05","42.53","LONG POINT (AUT)","6134F10","2018-01-11","2018","01","11","","13.4","","5.7","","9.6","","8.4","","0.0","","","M","","M","","M","","","15","","74",""
"-80.05","42.53","LONG POINT (AUT)","6134F10","2018-01-12","2018","01","12","","13.9","","-8.5","","2.7","","15.3","","0.0","","","M","","M","","M","","","34","","65",""
"-80.05","42.53","LONG POINT (AUT)","6134F10","2018-01-13","2018","01","13","","-7.6","","-12.1","","-9.9","","27.9","","0.0","","","M","","M","","M","","","31","","63",""
"-80.05","42.53","LONG POINT (AUT)","6134F10","2018-01-14","2018","01","14","","-7.2","","-11.9","","-9.6","","27.6","","0.0","","","M","","M","","M","","","9","","46",""
"-80.05","42.53","LONG POINT (AUT)","6134F10","2018-01-15","2018","01","15","","-2.6","","-9.2","","-5.9","","23.9","","0.0","","","M","","M","","M","","","9","","44",""
"-80.05","42.53","LONG POINT (AUT)","6134F10","2018-01-16","2018","01","16","","-2.7","","-11.0","","-6.9","","24.9","","0.0","","","M","","M","","M","","","18","","61",""
"-80.05","42.53","LONG POINT (AUT)","6134F10","2018-01-17","2018","01","17","","-6.5","","-11.7","","-9.1","","27.1","","0.0","","","M","","M","","M","","","17","","70",""
"-80.05","42.53","LONG POINT (AUT)","6134F10","2018-01-18","2018","01","18","","-3.1","","-9.5","","-6.3","","24.3","","0.0","","","M","","M","","M","","","18","","72",""
"-80.05","42.53","LONG POINT (AUT)","6134F10","2018-01-19","2018","01","19","","1.7","","-4.3","","-1.3","","19.3","","0.0","","","M","","M","","M","","","17","","67",""
"-80.05","42.53","LONG POINT (AUT)","6134F10","2018-01-20","2018","01","20","","3.3","","0.6","","2.0","","16.0","","0.0","","","M","","M","","M","","","19","","69",""
"-80.05","42.53","LONG POINT (AUT)","6134F10","2018-01-21","2018","01","21","","5.3","","0.0","","2.7","","15.3","","0.0","","","M","","M","","M","","","20","","32",""
"-80.05","42.53","LONG POINT (AUT)","6134F10","2018-01-22","2018","01","22","","13.5","E","","M","","M","","M","","M","","M","","M","","M","","","12","","48",""
"-80.05","42.53","LONG POINT (AUT)","6134F10","2018-01-23","2018","01","23","","9.7","","-3.1","","3.3","","14.7","","0.0","","","M","","M","","M","","","11","","98",""
"-80.05","42.53","LONG POINT (AUT)","6134F10","2018-01-24","2018","01","24","","-2.7","","-6.4","","-4.6","","22.6","","0.0","","","M","","M","","M","","","26","","54",""
"-80.05","42.53","LONG POINT (AUT)","6134F10","2018-01-25","2018","01","25","","-1.6","","-7.7","","-4.7","","22.7","","0.0","","","M","","M","","M","","","","","<31",""
"-80.05","42.53","LONG POINT (AUT)","6134F10","2018-01-26","2018","01","26","","6.9","","-3.0","","2.0","","16.0","","0.0","","","M","","M","","M","","","16","","54",""
"-80.05","42.53","LONG POINT (AUT)","6134F10","2018-01-27","2018","01","27","","7.0","","-0.9","","3.1","","14.9","","0.0","","","M","","M","","M","","","16","","67",""
"-80.05","42.53","LONG POINT (AUT)","6134F10","2018-01-28","2018","01","28","","4.1","","-0.9","","1.6","","16.4","","0.0","","","M","","M","","M","","","36","","33",""
"-80.05","42.53","LONG POINT (AUT)","6134F10","2018-01-29","2018","01","29","","-0.8","","-5.8","","-3.3","","21.3","","0.0","","","M","","M","","M","","","32","","57",""
"-80.05","42.53","LONG POINT (AUT)","6134F10","2018-01-30","2018","01","30","","-5.8","","-11.2","","-8.5","","26.5","","0.0","","","M","","M","","M","","","29","","63",""
"-80.05","42.53","LONG POINT (AUT)","6134F10","2018-01-31","2018","01","31","","2.8","","-7.8","","-2.5","","20.5","","0.0","","","M","","M","","M","","","16","","70",""
"-80.05","42.53","LONG POINT (AUT)","6134F10","2018-02-01","2018","02","01","","2.4","","-8.8","","-3.2","","21.2","","0.0","","","M","","M","","M","","","28","","56",""
